Name,Description,Block
MW,molecular weight,Constitutional indices
AMW,average molecular weight,Constitutional indices
Sv,sum of atomic van der Waals volumes (scaled on Carbon atom),Constitutional indices
Se,sum of atomic Sanderson electronegativities (scaled on Carbon atom),Constitutional indices
Sp,sum of atomic polarizabilities (scaled on Carbon atom),Constitutional indices
Si,sum of first ionization potentials (scaled on Carbon atom),Constitutional indices
Mv,mean atomic van der Waals volume (scaled on Carbon atom),Constitutional indices
Me,mean atomic Sanderson electronegativity (scaled on Carbon atom),Constitutional indices
Mp,mean atomic polarizability (scaled on Carbon atom),Constitutional indices
Mi,mean first ionization potential (scaled on Carbon atom),Constitutional indices
GD,graph density,Constitutional indices
nAT,number of atoms,Constitutional indices
nSK,number of non-H atoms,Constitutional indices
nTA,number of terminal atoms,Constitutional indices
nBT,number of bonds,Constitutional indices
nBO,number of non-H bonds,Constitutional indices
nBM,number of multiple bonds,Constitutional indices
SCBO,sum of conventional bond orders (H-depleted),Constitutional indices
RBN,number of rotatable bonds,Constitutional indices
RBF,rotatable bond fraction,Constitutional indices
nDB,number of double bonds,Constitutional indices
nTB,number of triple bonds,Constitutional indices
nAB,number of aromatic bonds,Constitutional indices
nH,number of Hydrogen atoms,Constitutional indices
nC,number of Carbon atoms,Constitutional indices
nN,number of Nitrogen atoms,Constitutional indices
nO,number of Oxygen atoms,Constitutional indices
nP,number of Phosphorous atoms,Constitutional indices
nS,number of Sulfur atoms,Constitutional indices
nF,number of Fluorine atoms,Constitutional indices
nCL,number of Chlorine atoms,Constitutional indices
nBR,number of Bromine atoms,Constitutional indices
nI,number of Iodine atoms,Constitutional indices
nB,number of Boron atoms,Constitutional indices
nHM,number of heavy atoms,Constitutional indices
nHet,number of heteroatoms,Constitutional indices
nX,number of halogen atoms,Constitutional indices
H%,percentage of H atoms,Constitutional indices
C%,percentage of C atoms,Constitutional indices
N%,percentage of N atoms,Constitutional indices
O%,percentage of O atoms,Constitutional indices
X%,percentage of halogen atoms,Constitutional indices
nCsp3,number of sp3 hybridized Carbon atoms,Constitutional indices
nCsp2,number of sp2 hybridized Carbon atoms,Constitutional indices
nCsp,number of sp hybridized Carbon atoms,Constitutional indices
nStructures,number of disconnected structures,Constitutional indices
totalcharge,total charge,Constitutional indices
nCIC,number of rings (cyclomatic number),Ring descriptors
nCIR,number of circuits,Ring descriptors
TRS,total ring size,Ring descriptors
Rperim,ring perimeter,Ring descriptors
Rbrid,ring bridge count,Ring descriptors
MCD,molecular cyclized degree,Ring descriptors
RFD,ring fusion density,Ring descriptors
RCI,ring complexity index,Ring descriptors
NRS,number of ring systems,Ring descriptors
NNRS,normalized number of ring systems,Ring descriptors
nR03,number of 3-membered rings,Ring descriptors
nR04,number of 4-membered rings,Ring descriptors
nR05,number of 5-membered rings,Ring descriptors
nR06,number of 6-membered rings,Ring descriptors
nR07,number of 7-membered rings,Ring descriptors
nR08,number of 8-membered rings,Ring descriptors
nR09,number of 9-membered rings,Ring descriptors
nR10,number of 10-membered rings,Ring descriptors
nR11,number of 11-membered rings,Ring descriptors
nR12,number of 12-membered rings,Ring descriptors
nBnz,number of benzene-like rings,Ring descriptors
ARR,aromatic ratio,Ring descriptors
D/Dtr03,distance/detour ring index of order 3,Ring descriptors
D/Dtr04,distance/detour ring index of order 4,Ring descriptors
D/Dtr05,distance/detour ring index of order 5,Ring descriptors
D/Dtr06,distance/detour ring index of order 6,Ring descriptors
D/Dtr07,distance/detour ring index of order 7,Ring descriptors
D/Dtr08,distance/detour ring index of order 8,Ring descriptors
D/Dtr09,distance/detour ring index of order 9,Ring descriptors
D/Dtr10,distance/detour ring index of order 10,Ring descriptors
D/Dtr11,distance/detour ring index of order 11,Ring descriptors
D/Dtr12,distance/detour ring index of order 12,Ring descriptors
ZM1,first Zagreb index,Topological indices
ZM1V,first Zagreb index by valence vertex degrees,Topological indices
ZM1Kup,first Zagreb index by Kupchik vertex degrees,Topological indices
ZM1Mad,first Zagreb index by Madan vertex degrees,Topological indices
ZM1Per,first Zagreb index by perturbation vertex degrees,Topological indices
ZM1MulPer,first Zagreb index by multiplicative perturbation vertex degrees,Topological indices
ZM2,second Zagreb index,Topological indices
ZM2V,second Zagreb index by valence vertex degrees,Topological indices
ZM2Kup,second Zagreb index by Kupchik vertex degrees,Topological indices
ZM2Mad,second Zagreb index by Madan vertex degrees,Topological indices
ZM2Per,second Zagreb index by perturbation vertex degrees,Topological indices
ZM2MulPer,second Zagreb index by multiplicative perturbation vertex degrees,Topological indices
ON0,overall modified Zagreb index of order 0,Topological indices
ON0V,overall modified Zagreb index of order 0 by valence vertex degrees,Topological indices
ON1,overall modified Zagreb index of order 1,Topological indices
ON1V,overall modified Zagreb index of order 1 by valence vertex degrees,Topological indices
Qindex,quadratic index,Topological indices
BBI,Bertz branching index,Topological indices
DBI,Dragon branching index,Topological indices
SNar,Narumi simple topological index (log function),Topological indices
HNar,Narumi harmonic topological index,Topological indices
GNar,Narumi geometric topological index,Topological indices
Xt,total structure connectivity index,Topological indices
Dz,Pogliani index,Topological indices
Ram,ramification index,Topological indices
BLI,Kier benzene-likeliness index,Topological indices
Pol,polarity number,Topological indices
LPRS,log of product of row sums (PRS),Topological indices
MSD,mean square distance index (Balaban),Topological indices
SPI,superpendentic index,Topological indices
PJI2,2D Petitjean shape index,Topological indices
ECC,eccentricity,Topological indices
AECC,average eccentricity,Topological indices
DECC,eccentric,Topological indices
MDDD,mean distance degree deviation,Topological indices
UNIP,unipolarity,Topological indices
CENT,centralization,Topological indices
VAR,variation,Topological indices
ICR,radial centric information index,Topological indices
SMTI,Schultz Molecular Topological Index (MTI),Topological indices
SMTIV,Schultz Molecular Topological Index by valence vertex degrees,Topological indices
GMTI,Gutman Molecular Topological Index,Topological indices
GMTIV,Gutman Molecular Topological Index by valence vertex degrees,Topological indices
Xu,Xu index,Topological indices
CSI,eccentric connectivity index,Topological indices
Wap,all-path Wiener index,Topological indices
S1K,1-path Kier alpha-modified shape index,Topological indices
S2K,2-path Kier alpha-modified shape index,Topological indices
S3K,3-path Kier alpha-modified shape index,Topological indices
PHI,Kier flexibility index,Topological indices
PW2,path/walk 2 - Randic shape index,Topological indices
PW3,path/walk 3 - Randic shape index,Topological indices
PW4,path/walk 4 - Randic shape index,Topological indices
PW5,path/walk 5 - Randic shape index,Topological indices
MAXDN,maximal electrotopological negative variation,Topological indices
MAXDP,maximal electrotopological positive variation,Topological indices
DELS,molecular electrotopological variation,Topological indices
TIE,E-state topological parameter,Topological indices
Psi_i_s,intrinsic state pseudoconnectivity index - type S,Topological indices
Psi_i_A,intrinsic state pseudoconnectivity index - type S average,Topological indices
Psi_i_0,intrinsic state pseudoconnectivity index - type 0,Topological indices
Psi_i_1,intrinsic state pseudoconnectivity index - type 1,Topological indices
Psi_i_t,intrinsic state pseudoconnectivity index - type T,Topological indices
Psi_i_0d,intrinsic state pseudoconnectivity index - type 0d,Topological indices
Psi_i_1d,intrinsic state pseudoconnectivity index - type 1d,Topological indices
Psi_i_1s,intrinsic state pseudoconnectivity index - type 1s,Topological indices
Psi_e_A,electrotopological state pseudoconnectivity index - type S average,Topological indices
Psi_e_0,electrotopological state pseudoconnectivity index - type 0,Topological indices
Psi_e_1,electrotopological state pseudoconnectivity index - type 1,Topological indices
Psi_e_t,electrotopological state pseudoconnectivity index - type T,Topological indices
Psi_e_0d,electrotopological state pseudoconnectivity index - type 0d,Topological indices
Psi_e_1d,electrotopological state pseudoconnectivity index - type 1d,Topological indices
Psi_e_1s,electrotopological state pseudoconnectivity index - type 1s,Topological indices
BAC,Balaban centric index,Topological indices
LOC,lopping centric index,Topological indices
MWC01,molecular walk count of order 1,Walk and path counts
MWC02,molecular walk count of order 2,Walk and path counts
MWC03,molecular walk count of order 3,Walk and path counts
MWC04,molecular walk count of order 4,Walk and path counts
MWC05,molecular walk count of order 5,Walk and path counts
MWC06,molecular walk count of order 6,Walk and path counts
MWC07,molecular walk count of order 7,Walk and path counts
MWC08,molecular walk count of order 8,Walk and path counts
MWC09,molecular walk count of order 9,Walk and path counts
MWC10,molecular walk count of order 10,Walk and path counts
SRW02,self-returning walk count of order 2,Walk and path counts
SRW03,self-returning walk count of order 3,Walk and path counts
SRW04,self-returning walk count of order 4,Walk and path counts
SRW05,self-returning walk count of order 5,Walk and path counts
SRW06,self-returning walk count of order 6,Walk and path counts
SRW07,self-returning walk count of order 7,Walk and path counts
SRW08,self-returning walk count of order 8,Walk and path counts
SRW09,self-returning walk count of order 9,Walk and path counts
SRW10,self-returning walk count of order 10,Walk and path counts
MPC01,molecular path count of order 1 (no. of non-H bonds),Walk and path counts
MPC02,molecular path count of order 2 (Gordon-Scantlebury index),Walk and path counts
MPC03,molecular path count of order 3,Walk and path counts
MPC04,molecular path count of order 4,Walk and path counts
MPC05,molecular path count of order 5,Walk and path counts
MPC06,molecular path count of order 6,Walk and path counts
MPC07,molecular path count of order 7,Walk and path counts
MPC08,molecular path count of order 8,Walk and path counts
MPC09,molecular path count of order 9,Walk and path counts
MPC10,molecular path count of order 10,Walk and path counts
piPC01,molecular multiple path count of order 1,Walk and path counts
piPC02,molecular multiple path count of order 2,Walk and path counts
piPC03,molecular multiple path count of order 3,Walk and path counts
piPC04,molecular multiple path count of order 4,Walk and path counts
piPC05,molecular multiple path count of order 5,Walk and path counts
piPC06,molecular multiple path count of order 6,Walk and path counts
piPC07,molecular multiple path count of order 7,Walk and path counts
piPC08,molecular multiple path count of order 8,Walk and path counts
piPC09,molecular multiple path count of order 9,Walk and path counts
piPC10,molecular multiple path count of order 10,Walk and path counts
TWC,total walk count,Walk and path counts
TPC,total path count,Walk and path counts
piID,conventional bond order ID number,Walk and path counts
PCR,ratio of multiple path count over path count,Walk and path counts
PCD,difference between multiple path count and path count,Walk and path counts
CID,Randic ID number,Walk and path counts
BID,Balaban ID number,Walk and path counts
X0,connectivity index of order 0,Connectivity indices
X1,connectivity index of order 1 (Randic connectivity index),Connectivity indices
X2,connectivity index of order 2,Connectivity indices
X3,connectivity index of order 3,Connectivity indices
X4,connectivity index of order 4,Connectivity indices
X5,connectivity index of order 5,Connectivity indices
X0A,average connectivity index of order 0,Connectivity indices
X1A,average connectivity index of order 1,Connectivity indices
X2A,average connectivity index of order 2,Connectivity indices
X3A,average connectivity index of order 3,Connectivity indices
X4A,average connectivity index of order 4,Connectivity indices
X5A,average connectivity index of order 5,Connectivity indices
X0v,valence connectivity index of order 0,Connectivity indices
X1v,valence connectivity index of order 1,Connectivity indices
X2v,valence connectivity index of order 2,Connectivity indices
X3v,valence connectivity index of order 3,Connectivity indices
X4v,valence connectivity index of order 4,Connectivity indices
X5v,valence connectivity index of order 5,Connectivity indices
X0Av,average valence connectivity index of order 0,Connectivity indices
X1Av,average valence connectivity index of order 1,Connectivity indices
X2Av,average valence connectivity index of order 2,Connectivity indices
X3Av,average valence connectivity index of order 3,Connectivity indices
X4Av,average valence connectivity index of order 4,Connectivity indices
X5Av,average valence connectivity index of order 5,Connectivity indices
X0sol,solvation connectivity index of order 0,Connectivity indices
X1sol,solvation connectivity index of order 1,Connectivity indices
X2sol,solvation connectivity index of order 2,Connectivity indices
X3sol,solvation connectivity index of order 3,Connectivity indices
X4sol,solvation connectivity index of order 4,Connectivity indices
X5sol,solvation connectivity index of order 5,Connectivity indices
XMOD,modified Randic index,Connectivity indices
RDCHI,reciprocal distance sum Randic-like index,Connectivity indices
