Species,Type,CAS,Ref,YSI
n-pentane,Linear Alkanes,109-66-0,3,-8.9
n-hexane,Linear Alkanes,110-54-3,3,0
2-methylpentane,Linear Alkanes,107-83-5,3,9.8
3-methylpentane,Linear Alkanes,96-14-0,3,12.2
"2,2-dimethylbutane",Linear Alkanes,75-83-2,3,20.2
"2,3-dimethylbutane",Linear Alkanes,79-29-8,3,21.1
n-heptane,Linear Alkanes,142-82-5,3,8.7
2-methylhexane,Linear Alkanes,591-76-4,3,18.6
3-methylhexane,Linear Alkanes,589-34-4,3,19.6
"2,2-dimethylpentane",Linear Alkanes,590-35-2,3,26.5
"2,3-dimethylpentane",Linear Alkanes,565-59-3,3,29.6
"2,4-dimethylpentane",Linear Alkanes,108-08-7,3,29.9
"3,3-dimethylpentane",Linear Alkanes,562-49-2,3,26.9
"2,2,3-trimethylbutane",Linear Alkanes,464-06-2,3,38.7
n-octane,Linear Alkanes,111-65-9,3,18.9
2-methylheptane,Linear Alkanes,592-27-8,3,29.5
3-methylheptane,Linear Alkanes,589-81-1,3,28.5
4-methylheptane,Linear Alkanes,589-53-7,3,27.5
"2,2-dimethylhexane",Linear Alkanes,590-73-8,3,34.8
"2,4-dimethylhexane",Linear Alkanes,589-43-5,3,39.9
"2,5-dimethylhexane",Linear Alkanes,592-13-2,3,39.9
"3,4-dimethylhexane",Linear Alkanes,583-48-2,3,38.5
"2,2,4-trimethylpentane",Linear Alkanes,540-84-1,3,48.6
"2,3,4-trimethylpentane",Linear Alkanes,565-75-3,3,47.3
n-nonane,Linear Alkanes,111-84-2,3,30.6
"2,3-dimethylheptane",Linear Alkanes,3074-71-3,3,46.3
n-decane,Linear Alkanes,124-18-5,3,41.7
n-undecane,Linear Alkanes,1120-21-4,3,53.3
n-dodecane,Linear Alkanes,112-40-3,3,64.2
"2,2,4,6,6-pentamethylheptane",Linear Alkanes,13475-82-6,3,106.9
cyclopentane,Cyclic Alkanes,287-92-3,3,14
cyclohexane,Cyclic Alkanes,110-82-7,3,19.1
